player_id,player_name,team_side,team_name,x,y
1214751,L. Pioli,home,Acassuso,5,31
1214751,L. Pioli,home,Acassuso,29,47
1214751,L. Pioli,home,Acassuso,43,18
1214751,L. Pioli,home,Acassuso,5,0
1214751,L. Pioli,home,Acassuso,19,29
1214751,L. Pioli,home,Acassuso,32,46
1214751,L. Pioli,home,Acassuso,30,27
1214751,L. Pioli,home,Acassuso,39,12
1214751,L. Pioli,home,Acassuso,23,21
1214751,L. Pioli,home,Acassuso,19,23
1214751,L. Pioli,home,Acassuso,19,21
1214751,L. Pioli,home,Acassuso,7,16
1214751,L. Pioli,home,Acassuso,15,61
1214751,L. Pioli,home,Acassuso,27,20
1214751,L. Pioli,home,Acassuso,12,29
1214751,L. Pioli,home,Acassuso,18,15
1214751,L. Pioli,home,Acassuso,12,17
1214751,L. Pioli,home,Acassuso,36,30
1214751,L. Pioli,home,Acassuso,17,11
1214751,L. Pioli,home,Acassuso,23,22
1214751,L. Pioli,home,Acassuso,22,30
1214751,L. Pioli,home,Acassuso,57,0
1214751,L. Pioli,home,Acassuso,9,58
1214751,L. Pioli,home,Acassuso,5,53
1214751,L. Pioli,home,Acassuso,55,24
1214751,L. Pioli,home,Acassuso,23,19
1214751,L. Pioli,home,Acassuso,14,53
1214751,L. Pioli,home,Acassuso,29,0
1214751,L. Pioli,home,Acassuso,77,0
1214751,L. Pioli,home,Acassuso,12,31
1214751,L. Pioli,home,Acassuso,17,11
1214751,L. Pioli,home,Acassuso,18,18
1214751,L. Pioli,home,Acassuso,14,43
1214751,L. Pioli,home,Acassuso,13,68
1214751,L. Pioli,home,Acassuso,9,66
1214751,L. Pioli,home,Acassuso,24,24
1214751,L. Pioli,home,Acassuso,13,57
1214751,L. Pioli,home,Acassuso,11,29
1214751,L. Pioli,home,Acassuso,32,18
1214751,L. Pioli,home,Acassuso,19,34
1214751,L. Pioli,home,Acassuso,47,29
1214751,L. Pioli,home,Acassuso,37,29
1214751,L. Pioli,home,Acassuso,4,16
